@relation 'pop2-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R2,62-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-9,11-14,16,18,20-25,30,32-38,40-41,43-60-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,10'

@attribute num_imgs numeric
@attribute data_channel_is_entertainment {0,1}
@attribute data_channel_is_socmed {0,1}
@attribute data_channel_is_world {0,1}
@attribute kw_min_avg numeric
@attribute kw_max_avg numeric
@attribute kw_avg_avg numeric
@attribute self_reference_min_shares numeric
@attribute self_reference_avg_sharess numeric
@attribute is_weekend {0,1}
@attribute lda_02 numeric
@attribute pop2 {0,1}

@data
1,1,0,0,0,0,0,496,496,0,0.040005,0
1,0,0,0,0,0,0,918,918,0,0.033351,0
1,1,0,0,0,0,0,0,0,0,0.494651,0
0,0,0,0,0,0,0,8500,8500,0,0.022231,0
20,0,0,0,0,0,0,545,3151.158,0,0.020024,0
0,0,0,0,0,0,0,0,0,0,0.028662,1
1,0,0,1,0,0,0,0,0,0,0.400829,1
11,0,0,0,0,0,0,10700,13450,0,0.025188,0
0,0,0,0,0,0,0,770,11785,0,0.033352,1
12,0,0,0,0,0,0,555,3904.625,0,0.040028,1
1,0,0,0,0,0,0,0,0,0,0.033334,1
1,0,0,0,0,0,0,5000,5000,0,0.033457,1
42,0,0,0,0,0,0,545,2829.5417,0,0.025001,1
1,0,0,1,0,0,0,704,704,0,0.680662,0
1,0,0,1,0,0,0,16100,16100,0,0.699985,0
1,0,0,0,0,0,0,2800,2800,0,0.050001,0
1,0,0,0,0,0,0,924,924,0,0.020191,0
1,0,0,0,0,0,0,2500,2500,0,0.133363,0
1,0,0,0,0,0,0,0,0,0,0.033335,0
1,0,0,0,0,0,0,0,0,0,0.025141,1
1,0,0,0,0,0,0,6200,6200,0,0.020517,0
20,0,0,0,0,0,0,545,3713.1365,0,0.020004,1
0,0,1,0,0,0,0,1300,1775,0,0.022384,1
0,1,0,0,0,0,0,6300,6300,0,0.215041,1
20,0,0,0,0,0,0,545,3168.6001,0,0.022223,0
42,0,0,0,0,0,0,545,2758.7083,0,0.028572,1
20,0,0,0,0,0,0,545,3151.158,0,0.020001,0
20,0,0,0,0,0,0,545,3151.158,0,0.025001,0
1,0,0,0,0,0,0,0,0,0,0.239289,0
0,1,0,0,0,0,0,638,8260.75,0,0.020007,0
0,0,0,0,0,0,0,0,0,0,0.020047,1
20,0,0,0,0,0,0,545,3078.6001,0,0.022223,0
20,0,0,0,0,0,0,545,3428.6001,0,0.025001,1
0,0,0,0,0,0,0,1300,1300,0,0.022276,0
23,0,0,0,0,0,0,585,997.33331,0,0.02,0
10,0,0,0,0,0,0,1200,3733.3333,0,0.033334,0
1,0,0,0,0,0,0,0,0,0,0.022223,0
20,0,0,0,0,0,0,545,3151.158,0,0.028575,0
20,0,0,0,0,0,0,545,3151.158,0,0.022223,0
1,0,0,0,0,0,0,545,545,0,0.025004,1
1,0,0,0,0,0,0,0,0,0,0.022364,0
1,0,0,1,0,0,0,638,1559.5,0,0.839996,0
1,0,0,0,0,0,0,821,821,0,0.033341,0
1,0,0,1,0,0,0,0,0,0,0.485075,0
1,0,0,0,0,0,0,1400,2366.6667,0,0.020003,1
1,0,0,1,0,0,0,0,0,0,0.702039,0
11,0,1,0,0,0,0,3900,3900,0,0.020097,0
20,0,0,0,0,0,0,545,3151.158,0,0.025001,0
1,0,0,0,0,0,0,0,0,0,0.276025,0
9,0,0,0,0,2318.4761,1184.5601,727,727,0,0.020001,1
1,0,0,0,0,2193.25,884.85199,1300,1300,0,0.120267,0
9,0,0,0,0,2153.6667,1191.1591,0,0,0,0.09619,0
20,0,0,0,480,2102.7715,1539.4172,545,3151.158,0,0.025,0
1,0,0,0,0,5700,1802.9729,0,0,0,0.020005,0
1,1,0,0,0,2019.3462,713.91925,20900,20900,0,0.04,0
13,1,0,0,0,1953.1444,707.24072,527,527,0,0.033334,0
0,0,0,0,0,2082.425,1516.0406,0,0,0,0.028586,0
1,1,0,0,0,1953.1444,848.6889,475,2691.6667,0,0.04,1
11,0,1,0,0,2322.5,831.5105,6600,6600,0,0.022381,1
19,0,0,0,726.59998,2339.52,1777.3306,545,3151.158,0,0.02501,0
1,0,0,0,0,4151,858.14307,0,0,0,0.025094,0
0,0,0,0,0,8566.667,3492.7305,2500,2500,0,0.033351,0
19,0,0,0,726.59998,2082.425,1596.9531,545,3151.158,0,0.025013,0
19,0,0,0,0,5428.5713,1740.7798,545,2744.375,0,0.020045,0
1,0,0,1,0,3600,1232.3812,0,0,0,0.533042,0
10,0,0,1,0,1968.6316,1047.3977,0,0,0,0.602206,0
1,1,0,0,0,1953.1444,512.05554,0,0,0,0.580514,0
0,0,0,0,0,1953.1444,1206.9574,6700,11700,0,0.033355,0
20,0,0,0,0,3600,1487.9109,543,3095.9524,0,0.020014,0
10,0,0,0,0,11800,3987.4229,4200,5000,0,0.025058,1
1,0,0,0,0,1953.1444,641.52887,699,1199.8,0,0.040025,0
11,0,0,0,0,4151,1437.0157,20500,25200,0,0.033337,1
1,0,0,0,0,3600,1366.7938,2000,3500,0,0.158796,1
0,1,0,0,0,2011.3928,1334.27,0,0,0,0.025307,0
1,0,0,0,0,2082.425,1166.8171,0,0,0,0.036117,0
1,0,1,0,0,2322.5,1071.7074,1800,1800,0,0.61857,1
1,1,0,0,0,11800,2958.2671,931,2365.5,0,0.020031,0
1,0,0,0,0,1953.1444,815.9696,0,0,0,0.331988,0
20,0,0,0,0,2339.52,1640.0931,545,3151.158,0,0.028572,0
0,0,0,1,0,1953.1444,503.35443,1600,1600,0,0.733684,0
26,0,0,0,823.14288,4151,1746.2075,0,0,0,0.43994,0
8,0,1,0,0,3165.5,1564.274,1200,2300,0,0.0336,0
1,0,0,0,0,1953.1444,1069.2148,10500,10500,0,0.066669,1
